CRN,Subj,Crse,Cred,Title,Days,Instructor
11704,CS,65,3,INTRO TO CS I,TR,Md Alimoor Reza (P)
9180,CS,65,3,INTRO TO CS I,TR,Timothy Matthew Urness (P)
8012,CS,65,3,INTRO TO CS I,TR,Md Alimoor Reza (P)
12868,CS,66,3,INTRO TO CS II,MW,Eric Donald Manley (P)
3458,CS,66,3,INTRO TO CS II,TR,Andrei Nikolai Migunov (P)
9366,CS,66,3,INTRO TO CS II,TR,Andrei Nikolai Migunov (P)
12598,CS,67,3,OBJECT-ORIENTED PROGRAMMING,TR,Adam Thomas Case (P)
11158,CS,83,3,COMPUTER ETHICS,MW,Eric Donald Manley (P)
12838,CS,83,3,COMPUTER ETHICS,TR,Adam Joseph Shriver (P)
12869,CS,135,3,PROGRAMMING LANGUAGES,TR,Adam Thomas Case (P)
3459,CS,135,3,PROGRAMMING LANGUAGES,TR,Adam Thomas Case (P)
11708,CS,139,3,THEORY OF COMPUTATION,MW,Andrei Nikolai Migunov (P)
12309,CS,140,1,WELLMARK INTERNSHIP,,Timothy Matthew Urness (P)
12310,CS,140,1,WELLMARK INTERNSHIP,,Timothy Matthew Urness (P)
12871,CS,140,1,HY VEE INTERNSHIP,,Timothy Matthew Urness (P)
12221,CS,143,3,ARTIFICIAL INTELLIGENCE,TR,Md Alimoor Reza (P)
12220,CS,150,3,DISCRETE STRUCTURES,TR,Joshua Blanco Carlson (P)
10638,CS,167,3,MACHINE LEARNING,TR,Meredith Kay Moore (P)
12201,CS,167,3,MACHINE LEARNING,TR,Meredith Kay Moore (P)
12711,CS,178,3,CLOUD AND DATABASE SYSTEMS,MW,Timothy Matthew Urness (P)
9857,CS,178,3,CLOUD AND DATABASE SYSTEMS,MW,Timothy Matthew Urness (P)
11709,CS,188,3,SOFTWARE ENGINEERING,MW,Theodore Antonio Yorro Bartemes (P)
12607,CS,190,3,CASE STUDIES IN DATA ANALYTICS,MW,Lendie Ruth Follett (P)
12267,CS,190,3,CASE STUDIES IN DATA ANALYTICS,MW,Lendie Ruth Follett (P)
12222,CS,191,3,COMPUTER SCIENCE CAPSTONE,MW,Meredith Kay Moore (P)
